fold,best_val_loss,crop_acc,disease_acc_pred_crop,disease_acc_true_crop,n_val_samples,f1_crop_macro,f1_crop_weighted,f1_disease_pred_crop_macro,f1_disease_pred_crop_weighted,f1_disease_true_crop_macro,f1_disease_true_crop_weighted
1,12.216550529003143,0.8096885813148789,0.6020761245674741,0.726643598615917,289,0.7692983143404415,0.8076965713807408,0.5792447701845136,0.5900385532329775,0.7180587921872078,0.7168156054804794
2,12.446719080209732,0.8166089965397924,0.6193771626297578,0.7301038062283737,289,0.7838867822521627,0.8142932835877675,0.6201429447518068,0.6139575383336723,0.7314573603396484,0.723763383456362
3,13.048997223377228,0.8235294117647058,0.5605536332179931,0.6608996539792388,289,0.7605818705101267,0.82396677237488,0.5387318846946944,0.5558662404094807,0.6604342808835286,0.6602056413433991
4,11.122852385044098,0.8131487889273357,0.6193771626297578,0.7370242214532872,289,0.7737565798351566,0.8140525393813104,0.595746963621653,0.6097198407864792,0.7213868744353581,0.7288737275507781
5,13.634553253650665,0.7923875432525952,0.5847750865051903,0.7231833910034602,289,0.7326601156501081,0.7888141473846815,0.5672267914938726,0.5799864474771732,0.7284905681014052,0.720134040859297
