fold,best_val_loss,crop_acc,disease_acc_pred_crop,disease_acc_true_crop,n_val_samples,f1_crop_macro,f1_crop_weighted,f1_disease_pred_crop_macro,f1_disease_pred_crop_weighted,f1_disease_true_crop_macro,f1_disease_true_crop_weighted
1,3.9657761649318672,0.9994922139471902,0.9940758293838863,0.994583615436696,5908,0.9991061270953495,0.9994928105520887,0.990557442717061,0.9940870142444775,0.9916116318137798,0.9945933558629703
2,5.102536532378963,0.9996614759647935,0.9915368991198376,0.9917061611374408,5908,0.9996141576931744,0.9996613545304578,0.9882052864259191,0.9914968498531344,0.9883546718381627,0.9916681011457742
3,4.888537689563236,0.997291807718348,0.9920446851726472,0.994583615436696,5908,0.9971488499564111,0.9972971616651387,0.9898231057295968,0.9920364255407144,0.9923921678597024,0.9945762007465181
4,3.010431023141564,0.9981378026070763,0.9952598611816489,0.9969527679024885,5907,0.9975989276453602,0.9981485620235709,0.9925750958143214,0.9952656731520858,0.9954991108885951,0.9969543008817439
5,3.6640094255096756,0.9988149652954122,0.994751989165397,0.9957677331979008,5907,0.9986328045808972,0.9988144061229425,0.9934509399274516,0.9947337989516324,0.9945223796034844,0.9957474830241188
